target_week,yyyyww,n_coins,n_selected,selected,lam,aicc,n_pooled
555,202435,272,2,9 17,0.0017131832409510647,-50562.83363626664,11828
556,202436,275,4,5 9 17 19,0.0009502643767499362,-51058.74241756399,11922
557,202437,283,4,5 9 17 19,0.0009119188343035901,-51475.67252978472,12021
558,202438,288,3,5 9 17,0.0015973751622250572,-51926.43268395115,12130
559,202439,284,2,9 17,0.002605285864810041,-52323.87541950006,12240
560,202440,290,12,5 7 8 9 13 16 17 19 21 22 23 27,0.00035519364186828255,-52750.436679798804,12343
561,202441,293,14,5 7 8 9 13 16 17 18 19 20 21 22 23 27,0.0003400528857849572,-53254.69122173034,12451
562,202442,298,18,2 5 7 8 9 10 11 13 16 17 18 19 20 21 22 23 24 27,4.712631398045296e-07,-53738.00814777117,12560
563,202443,300,17,2 5 6 7 8 9 10 11 13 16 17 18 19 21 22 23 27,0.00016775650628636282,-54271.933264802836,12680
564,202444,302,3,9 16 17,0.0020792019942170122,-54909.55191599869,12800
565,202445,307,8,7 9 13 16 18 19 23 27,0.0006413066562726547,-55953.75728597633,12910
566,202446,310,16,0 5 6 7 8 9 10 14 15 16 18 19 21 22 23 27,1.111792827489413e-05,-55750.04174211516,13021
567,202447,306,14,0 1 4 7 8 9 10 13 16 18 19 21 22 27,8.540747996373235e-05,-55983.48895738144,13126
568,202448,314,4,0 9 13 18,0.0015696053038643395,-56261.07872421923,13231
569,202449,319,15,0 5 6 7 8 9 10 11 12 13 14 19 22 23 26,6.765536281238642e-05,-56724.77584625622,13339
570,202450,326,9,0 6 10 11 12 13 18 19 22,0.0006028930576194934,-56910.445068218236,13444
571,202451,324,9,0 4 6 9 11 12 13 19 22,0.0007443249183939633,-57446.27466986898,13549
572,202452,339,10,4 6 9 10 11 12 13 18 19 22,0.000563849271308871,-58082.62525818839,13656
573,202501,343,7,0 6 9 11 12 13 18,0.001277114143398311,-58638.463618897586,13779
574,202502,345,3,0 9 13,0.001482464648649495,-59280.29600844681,13907
575,202503,349,8,0 9 10 11 13 16 18 21,0.0006610017291997402,-59922.94752350291,14035
576,202504,359,10,0 8 10 11 12 13 16 18 21 22,0.0009244202731188841,-60371.44817208687,14169
577,202505,364,9,7 10 11 12 13 18 21 22 23,0.0009099499055413442,-60813.04125086863,14308
578,202506,362,9,7 10 11 12 13 16 18 21 25,0.0008203468536822899,-61356.1027628952,14447
579,202507,364,11,7 10 11 12 13 14 18 21 22 23 25,0.0008551742276646613,-61939.58955745463,14582
580,202508,365,10,7 10 11 12 14 16 21 22 23 26,0.0005106476614326578,-62765.100121873045,14715
581,202509,364,10,7 10 12 14 16 21 22 23 25 27,0.0006404512714899399,-63481.40298431578,14852
582,202510,374,8,6 7 12 14 16 21 25 27,0.001072844009459545,-65376.6142981707,14987
583,202511,372,6,6 7 14 16 21 25,0.00158459777658407,-66016.38087368375,15122
584,202512,378,12,6 7 8 10 14 16 21 22 23 25 26 27,0.0003241910068561769,-66944.66166126152,15253
585,202513,380,9,6 8 10 16 21 22 24 25 27,0.0008528728281664594,-67495.09651724882,15380
586,202514,381,13,2 6 7 8 10 12 16 21 22 24 25 26 27,0.0003801548356951314,-68383.776144858,15506
587,202515,383,15,2 6 7 8 10 12 14 16 21 22 23 24 25 26 27,8.603244987934078e-07,-69067.26024815,15635
588,202516,386,14,2 6 7 8 10 12 16 21 22 23 24 25 26 27,8.123810112552172e-07,-69184.12951156538,15763
589,202517,386,13,2 6 7 8 10 11 12 16 21 24 25 26 27,0.0001027775313379822,-69321.71290635725,15890
590,202518,392,12,2 6 7 8 10 12 16 20 21 24 25 27,0.00024946816792155,-69445.39139561978,16019
591,202519,403,12,2 6 8 10 11 12 16 20 21 24 25 27,0.0003063777277594842,-70026.67520482809,16152
592,202520,413,12,2 3 7 8 10 11 12 16 17 21 25 26,1.6568117063103532e-05,-68334.51908597,16296
593,202521,422,13,3 6 7 8 10 11 12 16 17 21 25 26 27,3.5819556597266403e-06,-69035.69743653656,16452
594,202522,426,10,7 8 10 11 12 13 17 21 26 27,0.0006613654117069868,-69928.14504888051,16611
595,202523,432,13,3 6 7 8 10 11 12 13 16 17 21 26 27,8.035577565400654e-07,-70733.97556527675,16772
596,202524,432,10,7 8 10 11 12 13 17 21 26 27,0.0007266894464823789,-71523.46328525238,16939
597,202525,440,13,1 6 7 8 10 11 12 16 17 21 25 26 27,0.00018686170136580305,-72273.31445178155,17108
598,202526,441,12,1 3 6 7 8 10 12 16 17 21 26 27,0.00013837453509207647,-72662.36872958302,17280
599,202527,448,12,1 6 7 8 10 12 16 17 21 25 26 27,0.0002397367219653971,-73458.57941810039,17456
600,202528,449,11,1 6 7 8 10 12 16 17 21 26 27,9.289321561116375e-05,-74242.8316906419,17634
601,202529,450,13,3 6 7 10 11 12 13 16 17 21 22 26 27,8.05618136499408e-07,-74605.17539469393,17811
602,202530,448,14,3 6 7 10 11 12 13 16 17 20 21 22 26 27,8.196561621667077e-07,-75253.961942317,17989
603,202531,459,12,1 3 6 7 10 12 13 17 21 22 26 27,9.223153801762872e-07,-75839.01799763071,18163
