week,cmkt_own,csmb_own,cmom_own,cmkt,csize,cmom
201837,0.03928364125199326,0.03018500679967845,-0.06514575746740821,0.039,0.029,-0.032
201838,0.11104070878757744,-0.029460312076242764,-0.04461415244810914,0.111,-0.041,-0.055
201839,-0.01452440342083052,-0.012509889856562826,-0.028574411956304807,-0.014,-0.022,-0.019
201840,-0.02408667240119149,0.06651109257355625,-0.07776285862389272,-0.024,0.042,-0.083
201841,-0.08348210607878467,0.036521185160119644,-0.004517938620914166,-0.084,0.002,-0.002
201842,0.04624752343582685,0.036477973219618896,-0.010116267875227361,0.047,0.019,-0.025
201843,-0.00016082235750281218,0.06585904790196803,0.007381906439821684,0.0,0.054,0.013
201844,0.0018137871084517986,0.012068783045459431,-0.06284902157194255,0.002,0.013,-0.055
201845,0.00935285602058178,0.011472770877218352,0.021946626217275323,0.01,-0.025,0.034
201846,-0.1289187961538498,-0.0009842939901015257,0.054423899239513136,-0.129,-0.034,0.043
201847,-0.3058102763663468,-0.02442505411255058,0.03592670659794947,-0.306,-0.037,0.03
201848,0.02203961680451208,0.0662681566714738,-0.03747744893079945,0.022,0.038,-0.027
201849,-0.14857533775620388,0.029650747135791355,0.11111204119783677,-0.151,0.06,0.084
201850,-0.10181056675565078,0.04207523790152755,0.06350645680098735,-0.1,0.014,0.148
201851,0.30115918407107184,0.04366006053099625,-0.17854025394452896,0.3,-0.009,-0.279
201852,-0.06523591400525715,-0.0020539950803796087,0.021794445445400577,-0.093,-0.016,0.052
201901,0.07938926325360246,0.024828248226085994,0.0363758816903655,0.079,-0.021,0.033
201902,-0.08999103739599484,0.03152098043512658,-0.06447813353835086,-0.09,0.026,-0.04
201903,-0.038710088558130885,0.06002599923106767,0.008285918663084802,-0.038,0.029,0.014
201904,-0.05011362064045614,0.030363831696473123,0.009253863562412836,-0.05,-0.014,0.023
201905,0.0009750211681994857,0.016949921505556322,-0.012563945686840054,0.001,0.029,-0.006
201906,0.061503473858601984,0.019154223841604742,-0.012629733974302858,0.061,-0.014,-0.027
201907,0.09186271663781177,0.047407661568044476,0.08490786941179317,0.092,0.011,0.073
201908,-0.008135784397710148,0.015373082349094219,-0.06103993246677264,-0.008,-0.029,-0.033
201909,-0.04236864512140831,0.06798358223392985,-0.04970909938405021,-0.042,0.016,-0.02
201910,0.053923175177433794,0.05874924444210144,0.05458336321433546,0.054,0.042,0.079
201911,0.04412927074807515,0.07635954309611802,-0.02520965444310226,0.045,0.032,-0.017
201912,-0.013781311242106593,0.057495714095575676,2.841347002905531e-07,-0.015,0.036,-0.007
201913,0.05934434553315319,0.10404077435110134,0.053487413763887715,0.059,0.066,0.063
201914,0.24891555771081664,-0.0003020444507675635,-0.01364906111914782,0.25,-0.047,0.043
201915,-0.06390790546132245,-0.004077231538713352,-0.0251921987882113,-0.064,-0.02,-0.03
201916,0.04439445687442194,0.010486014724184457,0.012554855216594718,0.045,-0.009,0.033
201917,-0.06866550272541416,0.010291073691396015,0.029352582497311354,-0.069,-0.006,0.023
201918,0.08170063659568864,-0.013690307251119763,0.025602222258314346,0.082,-0.05,0.018
201919,0.24752493504957412,-0.14313379141571064,0.16340872586771454,0.252,-0.198,0.149
201920,0.08112050244216078,0.04446338016133064,-0.10471405397943952,0.082,-0.042,-0.106
201921,0.10721783084394942,0.007156235167719557,0.031785189321685954,0.109,0.755,0.026
201922,-0.054627105971067555,0.039646958948149895,-0.09157314072818645,-0.057,0.02,-0.074
201923,-0.020143632579289018,0.07469154262053267,-0.007832616643234622,-0.019,0.536,0.006
201924,0.13014114213769057,-0.00106539944353215,-7.92696143798316e-05,0.131,-0.053,0.022
201925,0.13173917515511044,-0.050308938732326336,-0.0180435740686548,0.133,-0.047,-0.031
201926,-0.060729476378208413,-0.02723474690371197,0.0038633916704826562,-0.061,-0.018,-0.004
201927,0.10823277432078486,0.01591498162643741,0.026145698355351518,0.117,0.05,0.029
201928,-0.15343723692581182,0.024073785956668203,0.03211837704688578,-0.154,-0.012,0.034
201929,-0.03620567083712569,0.03923841265951023,-0.026291154335528033,-0.036,0.001,-0.07
