target_week,yyyyww,n_coins,n_selected,selected,lam,aicc,n_pooled
278,201918,773,12,7 8 11 14 15 16 19 21 22 24 26 27,0.00012304063795199588,-124583.70511302438,36449
279,201919,785,12,2 7 8 11 14 16 19 21 22 24 26 27,4.083914609388258e-05,-125394.29597016487,36572
280,201920,781,11,7 8 11 13 14 16 19 21 24 26 27,0.00017507873967505797,-125564.29634428868,36687
281,201921,787,11,2 7 11 14 16 18 19 21 24 26 27,0.00011185637136387083,-125275.1353927746,36788
282,201922,801,11,2 7 11 14 16 18 19 21 24 26 27,0.00019815734035748375,-125098.57398575827,36896
283,201923,790,13,2 7 11 13 14 16 18 19 21 22 24 26 27,3.523830131223564e-05,-125299.6182661569,36991
284,201924,789,11,7 11 13 15 16 18 19 21 24 26 27,0.0002932120684973116,-125087.27339365674,37083
285,201925,816,12,2 7 11 14 15 16 18 19 21 24 26 27,5.811436394221658e-06,-124865.9999635193,37188
286,201926,797,12,1 2 7 11 15 16 18 19 21 24 26 27,0.0001066265593319636,-122771.88873460006,37293
287,201927,774,13,1 2 7 11 14 15 16 18 19 21 24 26 27,2.2499206799596157e-05,-122798.82734100803,37378
288,201928,787,12,1 2 7 11 14 16 18 19 21 24 26 27,0.0001554313836940497,-121391.43722766393,37454
289,201929,765,12,1 2 7 11 14 16 18 19 21 24 26 27,0.00020239545738236504,-121421.73780773663,37508
290,201930,771,12,1 2 7 11 14 16 18 19 21 24 26 27,0.00012726192795925318,-121428.84009005643,37552
291,201931,761,12,1 2 7 11 14 16 18 19 21 24 26 27,0.00014082138484297786,-121158.91763993727,37586
292,201932,776,12,1 2 7 11 14 16 18 19 21 24 26 27,0.00012453443485036214,-120917.30787689952,37614
293,201933,768,11,1 2 7 14 16 18 19 21 24 26 27,0.00021630522034162558,-121129.74202292238,37658
294,201934,779,12,1 2 7 11 14 16 18 19 21 24 26 27,0.00012882918041600517,-121059.14600690462,37709
295,201935,769,12,1 2 7 11 14 16 18 19 21 24 26 27,0.00010142760566107156,-121280.53885629763,37761
296,201936,764,11,1 2 7 14 16 18 19 21 24 26 27,0.00029848513935585273,-121441.4546379651,37791
297,201937,751,12,1 2 7 11 14 16 18 19 21 24 26 27,0.00011384302850709308,-121455.88947621132,37837
298,201938,749,12,1 2 7 11 14 16 18 19 21 24 26 27,0.00012931727127462328,-121092.07937253374,37865
299,201939,734,11,1 2 7 11 14 18 19 21 24 26 27,0.00025943868236248506,-121285.56138723508,37869
300,201940,707,12,1 2 7 11 14 16 18 19 21 24 26 27,0.00015680842858820934,-121149.91302741952,37825
301,201941,698,12,1 2 7 11 14 16 18 19 21 24 26 27,0.00017141242027292854,-120996.669888091,37770
302,201942,695,11,1 2 7 11 16 18 19 21 24 26 27,0.0003324718869403166,-120685.0447112359,37698
303,201943,679,12,1 2 7 11 14 16 18 19 21 24 26 27,0.00010341192819305366,-120577.76304179544,37613
304,201944,666,12,1 2 7 11 14 16 18 19 21 24 26 27,0.0001707434713543464,-120144.4809775456,37502
305,201945,677,11,1 2 7 11 16 18 19 21 24 26 27,0.00015515479675488872,-119573.76417052587,37365
306,201946,672,11,1 2 7 11 16 18 19 21 24 26 27,0.00014320887126141173,-119085.4025026113,37228
307,201947,664,8,7 16 18 19 21 24 26 27,0.0003951159607757787,-117918.33116785245,37108
308,201948,644,8,7 16 18 19 21 24 26 27,0.00041093496996803895,-117251.36185865795,37029
309,201949,649,10,1 7 12 16 18 19 21 24 26 27,0.000301008906866052,-117030.16200077374,36971
310,201950,654,11,1 2 7 12 16 18 19 21 24 26 27,0.0001725966468828526,-116725.41915228362,36935
311,201951,656,10,2 7 12 16 18 19 21 24 26 27,0.000331728022653723,-116684.40913839542,36923
312,201952,655,11,2 7 12 16 18 19 21 22 24 26 27,0.00022320438501462507,-117229.630594647,36906
313,202001,648,12,2 7 10 12 16 18 19 21 22 24 26 27,0.0001693066295057329,-117197.30149901658,36860
314,202002,668,12,2 7 10 12 16 18 19 21 22 24 26 27,0.00025825385721096265,-117027.56045953742,36818
315,202003,675,12,2 7 10 12 16 18 19 21 22 24 26 27,8.34964520855693e-05,-116971.86993321084,36795
316,202004,681,12,2 7 10 11 12 16 18 19 21 24 26 27,7.880969191494489e-05,-117195.31676712031,36785
317,202005,682,10,7 10 12 16 18 19 21 24 26 27,0.0003923087842333673,-116968.38442735927,36790
318,202006,695,11,2 7 10 12 16 18 19 21 24 26 27,0.00012196404470443557,-116835.97230071889,36812
319,202007,724,10,0 2 7 10 16 18 21 24 26 27,0.00018818267098948498,-116591.78565435813,36863
320,202008,726,10,2 7 10 12 16 18 21 24 26 27,0.00010076522209484095,-116572.32553963462,36898
321,202009,712,13,1 2 7 10 12 13 16 18 19 21 24 26 27,6.586453981538561e-05,-116576.40494671902,36924
322,202010,694,9,7 10 12 18 19 21 24 26 27,0.00029346775440236214,-116903.25056440465,36937
323,202011,684,8,7 10 12 18 21 24 26 27,0.0002445416632539794,-117156.05263324632,36906
324,202012,617,9,1 7 10 12 18 19 21 26 27,0.0002884590848155848,-117067.68103452901,36796
325,202013,646,15,1 2 7 10 11 12 13 16 18 19 21 23 24 26 27,2.3147301779083418e-06,-116751.42732534591,36671
326,202014,637,14,1 2 7 10 12 13 16 18 19 21 23 24 26 27,2.2810949398149838e-06,-116982.16389619788,36562
327,202015,671,14,1 2 7 10 11 12 16 18 19 21 23 24 26 27,2.345859351695386e-06,-117716.47576863834,36432
328,202016,663,15,1 2 7 10 11 12 13 16 18 19 21 23 24 26 27,2.32434243295186e-06,-117574.00089611816,36310
329,202017,673,15,1 2 7 9 10 11 12 16 18 19 21 23 24 26 27,2.263156223135863e-06,-116366.65263705688,36196
330,202018,693,15,1 2 7 10 11 12 16 18 19 21 22 23 24 26 27,2.305385085982558e-06,-115532.43816899837,36091
331,202019,700,15,1 2 6 7 10 12 16 18 19 21 22 23 24 26 27,2.23543748704538e-06,-114998.30090620398,36011
332,202020,697,18,1 2 5 6 7 9 12 13 15 16 18 19 21 23 24 25 26 27,2.185513911476053e-06,-114944.03171823414,35932
333,202021,732,17,1 2 6 7 9 11 12 16 18 19 21 22 23 24 25 26 27,2.063863105100441e-06,-114990.06765837061,35866
334,202022,724,17,1 2 6 7 9 11 12 16 18 19 21 22 23 24 25 26 27,1.9096119210555656e-06,-114543.0490483038,35808
